x,Scheme [25],Scheme [27],Scheme [31],FLEX-DIAM-EHR
1,93.666,14849.878,265.460,3659.635
2,183.059,28765.609,410.318,3628.752
3,255.707,43712.906,650.834,3666.130
4,347.912,57761.092,951.498,3972.443
5,453.176,73863.012,1069.683,3917.872
7,618.954,102090.082,1449.043,4031.792
10,840.646,145662.656,2163.658,4137.063
12,1016.489,173448.988,2542.997,4425.424
15,1319.879,217891.004,3179.032,4687.806
20,1802.843,287737.912,4285.193,4901.372
25,2213.921,362155.263,5478.764,5265.385
30,2629.499,434458.601,6784.317,5479.269
50,4488.345,723671.952,10820.897,6951.756
75,6705.575,1085188.642,16363.921,8554.675
